intltool 0.51.0-6
inxi 3.3.38.1-1
iperf 2.2.1-1
iperf3 3.18-1
ipp-usb 0.9.30-1
iproute2 6.14.0-1
iptables-nft 1:1.8.11-2
iputils 20240905-1
iso-codes 4.18.0-1
iw 6.9-1
jansson 2.14.1-1
jasper 4.2.5-1
java-commons-lang 3.17.0-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 24.0.1.u9-1
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
jpegoptim 1.5.5-3
jq 1.7.1-2
json-c 0.18-2
json-glib 1.10.6-1
jsoncpp 1.9.6-3
judy 1.0.5-8
just 1.40.0-1
jwt-cli 6.2.0-1
jwt-ui 1.3.0-1
k6 0.57.0-1
kanata 1.8.1-1
karchive 6.14.0-1
kauth 6.14.0-1
kauth5 5.116.0-1
kbd 2.7.1-2
kbookmarks 6.14.0-1
kcmutils 6.14.0-1
kcodecs 6.14.0-1
kcolorscheme 6.14.0-1
kcompletion 6.14.0-1
kconfig 6.14.0-1
kconfigwidgets 6.14.0-1
kcoreaddons 6.14.0-1
kcoreaddons5 5.116.0-1
kcrash 6.14.0-1
kdbusaddons 6.14.0-1
keepassxc 2.7.10-2
keyutils 1.6.3-3
kglobalaccel 6.14.0-1
kguiaddons 6.14.0-1
kguiaddons5 5.116.0-1
ki18n 6.14.0-1
kiconthemes 6.14.0-1
kio 6.14.0-1
kirigami 6.14.0-1.1
kitemmodels 6.14.0-1
kitemmodels5 5.116.0-1
kitemviews 6.14.0-1
kjobwidgets 6.14.0-1
kmod 34.2-1
knewstuff 6.14.0-1
knotifications 6.14.0-1
knotifyconfig 6.14.0-1
konsole 25.04.1-1
kpackage 6.14.0-1
kparts 6.14.0-1
kpty 6.14.0-1
krb5 1.21.3-1
kservice 6.14.0-1
ktextwidgets 6.14.0-1
kvantum 1.1.5-1
kvantum-manjaro 0.13.5+5+g0179d45-4
kvantum-qt5 1.1.5-1
kwallet 6.14.0-2
kwidgetsaddons 6.14.0-1
kwindowsystem 6.14.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.14.0-1
kyotocabinet 1.2.79-2
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lazydocker-bin 0.24.1-1
lazygit 0.50.0-1
lazynpm 0.1.4-1
lazysql 0.3.4-1
lcms2 2.17-1
ldb 2:4.22.1-1
ldns 1.8.4-1
